Date,Opening Price,Closing Price,Minimum Price,Maximum Price,Change (%)
September 2019,48.354,46.172,46.149,49.448,-4.73 
October 2019,46.071,45.278,44.910,48.018,-1.75 
November 2019,45.227,47.820,45.086,47.820,5.42  
December 2019,47.730,45.568,45.405,47.980,-4.74 
January 2020,45.599,45.225,45.225,48.307,-0.83 
February 2020,47.630,46.852,44.443,47.630,-1.66 
March 2020,46.697,44.352,44.270,46.895,-5.29 
April 2020,44.314,45.232,44.037,47.279,2.03  
May 2020,45.215,46.415,44.117,47.694,2.58  
June 2020,44.114,42.326,42.326,46.485,-4.23 
July 2020,42.257,42.841,42.031,45.126,1.36  
August 2020,45.296,43.607,42.833,45.857,-3.87 
September 2020,43.710,43.665,43.665,47.017,-0.1 
October 2020,43.569,45.236,42.474,45.722,3.69  
November 2020,45.122,42.997,42.666,45.345,-4.94 
December 2020,43.043,43.178,42.968,45.532,0.31  
January 2021,43.152,45.085,42.844,45.854,4.29  
February 2021,42.756,44.306,42.057,45.036,3.5  
March 2021,41.980,41.925,41.854,44.449,-0.13 
April 2021,41.910,42.726,41.613,44.745,1.91  
May 2021,45.216,41.692,41.692,45.258,-8.45 
June 2021,41.699,39.908,39.908,44.068,-4.49 
July 2021,39.860,42.848,39.581,42.848,6.97  
August 2021,42.739,41.169,40.400,43.330,-3.81 
September 2021,41.253,41.282,41.253,44.618,0.07  
October 2021,41.104,42.679,40.051,43.431,3.69  
November 2021,40.395,40.572,40.225,42.870,0.44  
December 2021,40.600,40.675,40.524,43.112,0.18  
January 2022,43.154,40.369,40.369,43.437,-6.9 
February 2022,40.348,39.589,39.589,42.631,-1.92 
March 2022,39.571,39.521,39.408,42.024,-0.13 
April 2022,39.425,42.724,39.200,42.724,7.72  
May 2022,42.651,39.278,39.274,42.856,-8.59 
June 2022,39.265,37.514,37.514,41.646,-4.67 
July 2022,37.382,40.290,37.144,40.394,7.22  
August 2022,38.011,38.712,37.971,40.810,1.81  
September 2022,38.819,38.817,38.817,42.199,-0  
October 2022,41.144,37.951,37.638,41.144,-8.41 
November 2022,37.977,38.128,37.783,40.396,0.4  
December 2022,38.180,40.678,38.088,40.689,6.14  
January 2023,40.590,37.962,37.962,41.018,-6.92 
February 2023,37.921,37.181,37.181,40.230,-1.99 
March 2023,37.144,37.035,36.966,39.604,-0.29 
April 2023,39.445,40.155,36.772,40.218,1.77  
May 2023,37.914,36.845,36.845,40.438,-2.9 
June 2023,36.855,35.038,35.038,39.223,-5.19 
July 2023,37.410,35.561,34.721,37.933,-5.2 
August 2023,35.591,36.279,35.544,38.298,1.9  
September 2023,36.303,38.857,36.303,39.763,6.57  
October 2023,38.619,35.531,35.208,38.619,-8.69 
November 2023,35.539,35.708,35.347,37.948,0.47  
December 2023,35.678,38.115,35.658,38.259,6.39  
January 2024,35.856,35.536,35.536,38.590,-0.9 
February 2024,35.518,34.740,34.740,37.833,-2.24 
March 2024,34.646,36.899,34.530,37.175,6.11  
April 2024,34.571,35.486,34.319,37.701,2.58  
May 2024,35.527,34.364,34.364,38.003,-3.39 
June 2024,36.799,34.873,32.706,36.799,-5.52 
July 2024,32.514,33.152,32.308,35.466,1.92  
August 2024,33.185,33.144,33.119,35.580,-0.12 