Brand,Parent,Net Revenue,Total Passengers
Hebridean Island Cruises,All Other,"2,130,000.00","1,400.00"
Grand Circle Cruise Line,All Other,"12,150,000.00","3,800.00"
Orion Expedition Cruises,All Other,"20,320,000.00","5,100.00"
Blount Small Ship Adventures ,All Other,"23,310,000.00","5,900.00"
Travel Dynamics,All Other,"20,220,000.00","6,400.00"
SeaDream Yacht Club ,All Other,"33,990,000.00","8,600.00"
Paul Gauguin Cruises ,All Other,"38,710,000.00","9,800.00"
Voyages to Antiquity ,All Other,"45,730,000.00","11,500.00"
American Cruise Lines,All Other,"68,310,000.00","19,900.00"
Star Clippers ,All Other,"85,570,000.00","21,600.00"
Lindblad Expeditions,All Other,"103,790,000.00","26,100.00"
Saga Cruises,All Other,"97,880,000.00","30,800.00"
Quark Expeditions ,All Other,"123,510,000.00","31,100.00"
Crystal,All Other,"561,850,000.00","40,100.00"
Windstar ,All Other,"186,320,000.00","46,900.00"
Ponant ,All Other,"185,770,000.00","51,100.00"
Hapag Lloyd,All Other,"147,210,000.00","72,300.00"
Phoenix Reisen,All Other,"257,280,000.00","81,000.00"
Silversea,All Other,"685,000,000.00","81,000.00"
Fred Olsen,All Other,"156,310,000.00","106,200.00"
Marella Cruises,All Other,"338,000,000.00","106,400.00"
Celestyal Cruises,All Other,"377,170,000.00","118,800.00"
Cruise & Maritime Voyages ,All Other,"487,950,000.00","122,900.00"
Viking Cruises ,All Other,"604,430,000.00","163,200.00"
Star Cruises,All Other,"722,720,000.00","227,600.00"
Hurtigruten ,All Other,"952,520,000.00","246,200.00"
Dream Cruises,All Other,"1,024,450,000.00","258,100.00"
Pullmantur,All Other,"467,670,000.00","370,400.00"
TUI Cruises*,All Other,"1,057,840,000.00","523,800.00"
Disney,All Other,"1,006,770,000.00","589,500.00"
MSC Cruises,All Other,"3,148,900,000.00","1,876,200.00"
Seabourn,Carnival,"552,260,000.00","49,900.00"
Cunard,Carnival,"823,790,000.00","169,600.00"
P&O Cruises Australia,Carnival,"548,020,000.00","499,600.00"
P&O Cruises,Carnival,"1,031,850,000.00","623,400.00"
Holland America,Carnival,"2,589,600,000.00","831,500.00"
AIDA,Carnival,"2,128,280,000.00","1,183,700.00"
Costa Cruises,Carnival,"2,235,620,000.00","1,560,600.00"
Princess,Carnival,"4,228,850,000.00","1,667,500.00"
Carnival,Carnival,"4,166,890,000.00","5,716,500.00"
Regent Seven Seas,Norwegian,"877,430,000.00","68,900.00"
Oceania Cruises,Norwegian,"1,057,970,000.00","132,500.00"
Norwegian,Norwegian,"3,897,800,000.00","2,269,800.00"
Azamara,Royal Caribbean,"417,170,000.00","67,300.00"
Celebrity,Royal Caribbean,"2,447,450,000.00","909,500.00"
Royal Caribbean,Royal Caribbean,"6,525,180,000.00","4,987,000.00"