Year,Quarter,Revenue (Millions),Gross Profit (Millions),Operating Income (Millions),EBITDA (Millions),Net Income (Millions),Earnings Per Share,Shares Outstanding (Millions of Shares),Assets (Millions),Liabilities (Millions)
2019,Q2,4838,1679,516,1059,451,0.65,693,44512,20404
2019,Q1,4673,1531,386,902,336,0.48,695,43930,19689
2018,Q4,4456,1714,552,1059,493,0.71,710,42401,17958
2018,Q3,5836,2878,1794,2304,1707,2.41,708,41753,17099
2018,Q2,4357,1676,559,1071,561,0.78,715,42184,18251
2018,Q1,4232,1523,419,907,391,0.54,719,41441,17059
2017,Q4,4259,1642,548,1026,546,0.76,725,40778,16562
2017,Q3,5515,2502,1393,1865,1329,1.83,726,40643,16471
2017,Q2,3945,1509,500,957,379,0.52,727,40451,17487
2017,Q1,3791,1356,368,807,352,0.48,728,38703,16043
2016,Q4,3936,1617,597,1032,608,0.81,747,38881,16284
2016,Q3,5097,2534,1562,2004,1424,1.93,739,39332,16432
2016,Q2,3705,1447,478,916,605,0.80,753,39851,17060
2016,Q1,3651,1408,434,857,142,0.18,769,38446,15821
2015,Q4,3710,1492,509,929,270,0.35,779,39237,15466
2015,Q3,4883,2393,1510,1909,1216,1.56,781,38797,14444
2015,Q2,3590,1186,289,695,222,0.29,780,38611,15359
2015,Q1,3531,1196,266,667,49,0.06,779,38714,15364
2014,Q4,3719,1222,266,674,-103,-0.14,778,39448,15244
2014,Q3,4947,2187,1292,1706,1241,1.60,778,39997,14840
2014,Q2,3633,1061,147,557,98,0.13,778,40526,16161
2014,Q1,3585,993,67,472,-20,-0.03,776,39905,15435
2013,Q4,3658,1016,81,485,43,0.06,777,40104,15548
2013,Q3,4726,1809,951,1357,934,1.20,777,40393,16133
2013,Q2,3479,992,152,543,41,0.05,777,39979,16699
2013,Q1,3593,994,145,534,37,0.05,778,38675,15152
2012,Q4,3578,1027,176,568,93,0.12,779,39161,15232
2012,Q3,4684,2087,1295,1678,1330,1.71,779,39082,14889
2012,Q2,3538,1060,253,629,14,0.02,779,39462,16436
2012,Q1,3582,888,-82,294,-139,-0.18,778,38963,15310
2011,Q4,3696,1127,308,693,217,0.28,789,38637,14805
2011,Q3,5058,2244,1433,1823,1337,1.69,792,40026,15274
2011,Q2,3620,1099,279,659,206,0.26,793,39763,15911
2011,Q1,3419,1024,235,602,152,0.19,794,37965,14530
2010,Q4,3497,1141,341,708,248,0.31,805,37490,14459
2010,Q3,4527,2138,1402,1757,1303,1.62,806,36847,14252
2010,Q2,3267,1102,349,698,252,0.32,806,36029,15165
2010,Q1,3178,996,255,600,175,0.22,805,36732,15313
2009,Q4,3509,1063,294,639,193,0.25,804,36835,14796
2009,Q3,4139,1913,1196,1532,1073,1.33,809,36359,14799
2009,Q2,2948,1063,353,670,264,0.33,804,35545,15160
2009,Q1,2864,1014,311,622,260,0.33,803,32836,13682
2008,Q4,3603,1170,450,763,365,0.46,816,33400,14302
2008,Q3,4814,2180,1485,1808,1333,1.65,814,35278,14957
2008,Q2,3378,1219,482,794,390,0.49,819,35472,15542
2008,Q1,3152,1038,312,613,236,0.30,814,34145,14405
2007,Q4,3124,1139,423,713,358,0.45,828,34181,14218
2007,Q3,4321,2132,1490,1769,1377,1.67,829,33188,13480
2007,Q2,2900,1137,459,731,390,0.48,829,33187,14608
2007,Q1,2688,997,353,613,283,0.35,829,30461,12123
2006,Q4,2809,1129,476,730,416,0.51,836,30552,12342
2006,Q3,3905,1930,1340,1597,1232,1.49,831,29866,11987
2006,Q2,2662,1042,448,690,380,0.46,840,29304,12209
2006,Q1,2463,947,349,584,251,0.31,838,28316,11137
2005,Q4,2575,1028,438,672,339,0.41,853,28349,11466
2005,Q3,3607,1847,1321,1552,1181,1.40,854,28766,11676
2005,Q2,2516,1028,462,693,388,0.47,854,28306,12246
2005,Q1,2396,973,418,644,345,0.42,855,27599,11582